0.010000 0.999950 -0.010000 0.000050
0.020000 0.999800 -0.019998 0.000200
0.030000 0.999550 -0.029995 0.000450
0.040000 0.999200 -0.039989 0.000800
0.050000 0.998750 -0.049978 0.001249
0.060000 0.998201 -0.059963 0.001798
0.070000 0.997551 -0.069942 0.002446
0.080000 0.996802 -0.079913 0.003193
0.090000 0.995953 -0.089877 0.004039
0.100000 0.995004 -0.099832 0.004983
0.110000 0.993956 -0.109776 0.006025
0.120000 0.992809 -0.119710 0.007165
0.130000 0.991562 -0.129632 0.008402
0.140000 0.990216 -0.139541 0.009736
0.150000 0.988771 -0.149436 0.011166
0.160000 0.987227 -0.159316 0.012691
0.170000 0.985585 -0.169180 0.014311
0.180000 0.983844 -0.179027 0.016025
0.190000 0.982004 -0.188856 0.017833
0.200000 0.980067 -0.198666 0.019734
0.210000 0.978031 -0.208456 0.021727
0.220000 0.975897 -0.218226 0.023811
0.230000 0.973666 -0.227974 0.025986
0.240000 0.971338 -0.237699 0.028250
0.250000 0.968912 -0.247400 0.030603
0.260000 0.966390 -0.257076 0.033044
0.270000 0.963771 -0.266727 0.035572
0.280000 0.961055 -0.276351 0.038185
0.290000 0.958244 -0.285947 0.040883
0.300000 0.955336 -0.295515 0.043665
0.310000 0.952334 -0.305054 0.046529
0.320000 0.949235 -0.314561 0.049474
0.330000 0.946042 -0.324038 0.052500
0.340000 0.942755 -0.333482 0.055605
0.350000 0.939373 -0.342892 0.058787
0.360000 0.935897 -0.352268 0.062046
0.370000 0.932327 -0.361609 0.065381
0.380000 0.928665 -0.370914 0.068789
0.390000 0.924909 -0.380182 0.072269
0.400000 0.921061 -0.389412 0.075821
0.410000 0.917121 -0.398603 0.079442
0.420000 0.913089 -0.407754 0.083132
0.430000 0.908966 -0.416864 0.086888
0.440000 0.904752 -0.425932 0.090709
0.450000 0.900447 -0.434958 0.094594
0.460000 0.896052 -0.443941 0.098542
0.470000 0.891568 -0.452879 0.102550
0.480000 0.886995 -0.461771 0.106616
0.490000 0.882333 -0.470618 0.110741
0.500000 0.877583 -0.479418 0.114921
0.510000 0.872745 -0.488169 0.119155
0.520000 0.867819 -0.496872 0.123441
0.530000 0.862807 -0.505525 0.127778
0.540000 0.857709 -0.514127 0.132164
0.550000 0.852525 -0.522679 0.136596
0.560000 0.847255 -0.531177 0.141075
0.570000 0.841901 -0.539623 0.145597
0.580000 0.836463 -0.548015 0.150160
0.590000 0.830941 -0.556352 0.154764
0.600000 0.825336 -0.564633 0.159405
0.610000 0.819648 -0.572858 0.164083
0.620000 0.813878 -0.581025 0.168795
0.630000 0.808028 -0.589135 0.173540
0.640000 0.802096 -0.597185 0.178315
0.650000 0.796084 -0.605176 0.183119
0.660000 0.789992 -0.613107 0.187950
0.670000 0.783822 -0.620976 0.192805
0.680000 0.777573 -0.628783 0.197684
0.690000 0.771246 -0.636527 0.202583
0.700000 0.764842 -0.644207 0.207501
0.710000 0.758362 -0.651823 0.212437
0.720000 0.751806 -0.659374 0.217387
0.730000 0.745174 -0.666859 0.222350
0.740000 0.738469 -0.674277 0.227325
0.750000 0.731689 -0.681627 0.232308
0.760000 0.724836 -0.688910 0.237298
0.770000 0.717911 -0.696124 0.242294
0.780000 0.710914 -0.703268 0.247293
0.790000 0.703845 -0.710341 0.252292
0.800000 0.696707 -0.717344 0.257291
0.810000 0.689498 -0.724275 0.262287
0.820000 0.682221 -0.731134 0.267278
0.830000 0.674876 -0.737919 0.272262
0.840000 0.667463 -0.744631 0.277237
0.850000 0.659983 -0.751268 0.282202
0.860000 0.652437 -0.757830 0.287153
0.870000 0.644827 -0.764316 0.292090
0.880000 0.637151 -0.770726 0.297009
0.890000 0.629412 -0.777059 0.301910
0.900000 0.621610 -0.783314 0.306790
0.910000 0.613746 -0.789491 0.311648
0.920000 0.605820 -0.795588 0.316480
0.930000 0.597834 -0.801607 0.321287
0.940000 0.589788 -0.807545 0.326064
0.950000 0.581683 -0.813402 0.330811
0.960000 0.573520 -0.819178 0.335526
0.970000 0.565300 -0.824872 0.340207
0.980000 0.557023 -0.830484 0.344851
0.990000 0.548690 -0.836012 0.349458
1.000000 0.540302 -0.841457 0.354025
1.010000 0.531861 -0.846818 0.358550
1.020000 0.523366 -0.852094 0.363032
1.030000 0.514819 -0.857285 0.367469
1.040000 0.506220 -0.862390 0.371858
1.050000 0.497571 -0.867409 0.376199
1.060000 0.488872 -0.872341 0.380489
1.070000 0.480124 -0.877186 0.384728
1.080000 0.471328 -0.881943 0.388912
1.090000 0.462485 -0.886612 0.393041
1.100000 0.453596 -0.891193 0.397112
1.110000 0.444662 -0.895684 0.401125
1.120000 0.435682 -0.900085 0.405077
1.130000 0.426660 -0.904397 0.408967
1.140000 0.417595 -0.908618 0.412794
1.150000 0.408487 -0.912749 0.416555
1.160000 0.399340 -0.916788 0.420250
1.170000 0.390152 -0.920735 0.423877
1.180000 0.380925 -0.924591 0.427434
1.190000 0.371660 -0.928353 0.430920
1.200000 0.362358 -0.932024 0.434334
1.210000 0.353019 -0.935600 0.437674
1.220000 0.343646 -0.939084 0.440939
1.230000 0.334238 -0.942473 0.444128
1.240000 0.324796 -0.945768 0.447239
1.250000 0.315322 -0.948969 0.450271
1.260000 0.305817 -0.952074 0.453223
1.270000 0.296281 -0.955085 0.456094
1.280000 0.286715 -0.958000 0.458882
1.290000 0.277121 -0.960819 0.461587
1.300000 0.267499 -0.963542 0.464207
1.310000 0.257850 -0.966169 0.466741
1.320000 0.248175 -0.968699 0.469189
1.330000 0.238476 -0.971132 0.471549
